CharType,SILIPACharNum,IPAName,IPADesc,IsBaseChar
5,062,Half-length Mark,Preceding Letter is Half-long,No
5,225,Breve,Extra Short,No
5,142,Pipe,Minor (foot) Group,No
5,146,Double Pipe,Major (intonation) Group,No
5,046,Period,Syllable break,Yes
5,237,Short Bottom Tie-bar,Linking (absence of a break),No
6,137,Double Acute Accent,Extra High Level Tone,No
6,138,Extra-high Tone Bar,Extra High Level Tone,No
6,053,Superscript 5,Extra High Level Tone,No
6,143,Acute Accent,High Level Tone,No
6,145,High Tone Bar,High Level Tone,No
6,052,Superscript 4,High Level Tone,No
6,148,Large Macron,Mid Level Tone,No
6,149,Mid Tone Bar,Mid Level Tone,No
6,051,Superscript 3,Mid Level Tone,No
6,153,Grave Accent,Low Level Tone,No
6,154,Low Tone Bar,Low Level Tone,No
6,050,Superscript 2,Low Level Tone,No
6,158,Double Grave Accent,Extra Low Level Tone,No
6,159,Extra-low Tone Bar,Extra Low Level Tone,No
6,049,Superscript 1,Extra Low Level Tone,No
6,155,Down Arrow,Downstep,No
6,139,Up Arrow,Upstep,No
6,243,Wedge,Falling-rising Tone,No
6,232,Rising Contour Mark,Falling-rising Tone,No
6,230,Circumflex,Rising-falling Tone,No
6,134,Falling Contour Mark,Rising-falling Tone,No
6,157,Macron/Acute,High-rising Tone,No
6,216,High-rising Contour Mark,High-rising Tone,No
6,136,Grave-macron Accent,Low-rising Tone,No
6,128,Low-rising Contour Mark,Low-rising Tone,No
6,040,,Rising-falling Tone,No
6,202,Rising-falling coutour Mark,Rising-falling Tone,No
6,204,NE Diagonal Up Arrow,Global Rise,No
6,205,SE Diagonal Down Arrow,Global Fall,No
7,056,Under-ring,Voiceless,No
7,164,Subscript Wedge,Voiced,No
7,072,Superscript H,Aspirated,No
7,166,Subscript Right Half-ring,More rounded,No
7,055,Subscript Left Half-ring,Less Rounded,No
7,043,Subscript Plus,Advanced,No
7,061,Under-bar,Retracted,No
7,095,Umlaut,Centralized,No
7,126,Over-cross,Mid-centralized,No
7,096,Syllabicity Mark,Syllabic,No
7,057,Subscript Arch,Non-syllabic,No
7,213,Phonetic Right Hook,Rhoticity,No
7,045,Subscript Umlaut,Breathy voiced,No
7,188,Subscript Tilde,Creaky Voiced,No
7,209,Subscript Seagull,Linguolabial,No
7,087,Superscript W,Labialized,No
7,074,Superscript J,Palatalized,No
7,236,Superscript Gamma,Velarized,No
7,179,Superscript Reverse Glottal Stop,Pharyngealized,No
7,242,Tilde Through,Velarized or Pharyngealized,No
7,163,Raising Sign,Raised,No
7,162,Lowering Sign,Lowered,No
7,193,Advancing Sign,Advanced Tongue Root,No
7,170,Retracting Sign,Retracted Tongue Root,No
7,048,Subscript Bridge,Apical,No
7,176,Inverted Subscript Bridge,Dental,No
7,054,Subscript Square,Laminal,No
7,041,Superscript Tilde,Nazalized,No
7,060,Superscript N,Nasal release,No
7,058,Superscript L,Lateral Release,No
7,124,Corner,No Audible Release,No
